,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,K Kold,Repeatition,Scenario,CV Method
66,LR,Full Data Optimized,Test,0.838408,0.662361,4,3,SMOTE on ALL,K4R3
67,RFC,Full Data Optimized,Training,0.99988,0.987946,4,3,SMOTE on ALL,K4R3
68,RFC,Full Data Optimized,Test,0.978762,0.904843,4,3,SMOTE on ALL,K4R3
69,SVC,Full Data Optimized,Training,0.999588,0.992832,4,3,SMOTE on ALL,K4R3
70,SVC,Full Data Optimized,Test,0.980044,0.912236,4,3,SMOTE on ALL,K4R3
71,DT,Full Data Optimized,Training,0.996467,0.949951,4,3,SMOTE on ALL,K4R3
72,DT,Full Data Optimized,Test,0.894355,0.824061,4,3,SMOTE on ALL,K4R3
73,LR,Trimmed Data Optimized,Training,0.75223,0.722792,4,3,SMOTE on ALL,K4R3
74,LR,Trimmed Data Optimized,Test,0.69607,0.722458,4,3,SMOTE on ALL,K4R3
75,RFC,Trimmed Data Optimized,Training,0.993909,0.911734,4,3,SMOTE on ALL,K4R3
76,RFC,Trimmed Data Optimized,Test,0.773375,0.800055,4,3,SMOTE on ALL,K4R3
77,SVC,Trimmed Data Optimized,Training,0.998907,0.995813,4,3,SMOTE on ALL,K4R3
78,SVC,Trimmed Data Optimized,Test,0.622397,0.751245,4,3,SMOTE on ALL,K4R3
79,DT,Trimmed Data Optimized,Training,0.972042,0.866562,4,3,SMOTE on ALL,K4R3
80,DT,Trimmed Data Optimized,Test,0.723279,0.702702,4,3,SMOTE on ALL,K4R3
81,LR,Full Data Optimized,Training,0.830737,0.648726,4,4,SMOTE on ALL,K4R4
82,LR,Full Data Optimized,Test,0.838408,0.662361,4,4,SMOTE on ALL,K4R4
83,RFC,Full Data Optimized,Training,0.99988,0.987946,4,4,SMOTE on ALL,K4R4
84,RFC,Full Data Optimized,Test,0.978762,0.904843,4,4,SMOTE on ALL,K4R4
85,SVC,Full Data Optimized,Training,0.999588,0.992832,4,4,SMOTE on ALL,K4R4
86,SVC,Full Data Optimized,Test,0.980044,0.912236,4,4,SMOTE on ALL,K4R4
87,DT,Full Data Optimized,Training,0.996467,0.949951,4,4,SMOTE on ALL,K4R4
