,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,K Kold,Repeatition,Scenario,CV Method
298,LR,Trimmed Data Optimized,Test,0.687946,0.614997,3,2,SMOTE on Training,K3R2
299,RFC,Trimmed Data Optimized,Training,0.997071,0.97875,3,2,SMOTE on Training,K3R2
300,RFC,Trimmed Data Optimized,Test,0.773251,0.800259,3,2,SMOTE on Training,K3R2
301,SVC,Trimmed Data Optimized,Training,0.5,0.807836,3,2,SMOTE on Training,K3R2
302,SVC,Trimmed Data Optimized,Test,0.5,0.725645,3,2,SMOTE on Training,K3R2
303,DT,Trimmed Data Optimized,Training,0.924111,0.882539,3,2,SMOTE on Training,K3R2
304,DT,Trimmed Data Optimized,Test,0.683423,0.752115,3,2,SMOTE on Training,K3R2
305,LR,Full Data Optimized,Training,0.72702,0.650068,3,3,SMOTE on Training,K3R3
306,LR,Full Data Optimized,Test,0.665958,0.599351,3,3,SMOTE on Training,K3R3
307,RFC,Full Data Optimized,Training,0.944917,0.881917,3,3,SMOTE on Training,K3R3
308,RFC,Full Data Optimized,Test,0.760079,0.756182,3,3,SMOTE on Training,K3R3
309,SVC,Full Data Optimized,Training,1,0.998973,3,3,SMOTE on Training,K3R3
310,SVC,Full Data Optimized,Test,0.720093,0.744024,3,3,SMOTE on Training,K3R3
311,DT,Full Data Optimized,Training,0.984876,0.924716,3,3,SMOTE on Training,K3R3
312,DT,Full Data Optimized,Test,0.666393,0.685237,3,3,SMOTE on Training,K3R3
313,LR,Trimmed Data Optimized,Training,0.734819,0.636101,3,3,SMOTE on Training,K3R3
314,LR,Trimmed Data Optimized,Test,0.686476,0.609238,3,3,SMOTE on Training,K3R3
315,RFC,Trimmed Data Optimized,Training,0.995544,0.973255,3,3,SMOTE on Training,K3R3
316,RFC,Trimmed Data Optimized,Test,0.777014,0.774229,3,3,SMOTE on Training,K3R3
317,SVC,Trimmed Data Optimized,Training,0.109546,0.808341,3,3,SMOTE on Training,K3R3
318,SVC,Trimmed Data Optimized,Test,0.2685,0.709173,3,3,SMOTE on Training,K3R3
319,DT,Trimmed Data Optimized,Training,0.992931,0.949546,3,3,SMOTE on Training,K3R3
320,DT,Trimmed Data Optimized,Test,0.635094,0.706162,3,3,SMOTE on Training,K3R3
321,LR,Full Data Optimized,Training,0.72702,0.650068,3,4,SMOTE on Training,K3R4
322,LR,Full Data Optimized,Test,0.665958,0.599351,3,4,SMOTE on Training,K3R4
323,RFC,Full Data Optimized,Training,0.960739,0.887659,3,4,SMOTE on Training,K3R4
324,RFC,Full Data Optimized,Test,0.75456,0.750778,3,4,SMOTE on Training,K3R4
325,SVC,Full Data Optimized,Training,0.999263,0.98781,3,4,SMOTE on Training,K3R4
326,SVC,Full Data Optimized,Test,0.668585,0.720944,3,4,SMOTE on Training,K3R4
327,DT,Full Data Optimized,Training,0.982578,0.921811,3,4,SMOTE on Training,K3R4
328,DT,Full Data Optimized,Test,0.662551,0.700615,3,4,SMOTE on Training,K3R4
329,LR,Trimmed Data Optimized,Training,0.734563,0.632606,3,4,SMOTE on Training,K3R4
330,LR,Trimmed Data Optimized,Test,0.686053,0.607358,3,4,SMOTE on Training,K3R4
331,RFC,Trimmed Data Optimized,Training,0.997485,0.978759,3,4,SMOTE on Training,K3R4
332,RFC,Trimmed Data Optimized,Test,0.772252,0.786027,3,4,SMOTE on Training,K3R4
333,SVC,Trimmed Data Optimized,Training,0.999153,0.997899,3,4,SMOTE on Training,K3R4
334,SVC,Trimmed Data Optimized,Test,0.691641,0.737042,3,4,SMOTE on Training,K3R4
335,DT,Trimmed Data Optimized,Training,0.951642,0.877143,3,4,SMOTE on Training,K3R4
336,DT,Trimmed Data Optimized,Test,0.726308,0.721656,3,4,SMOTE on Training,K3R4
337,LR,Full Data Optimized,Training,0.732115,0.649443,4,2,SMOTE on Training,K4R2
338,LR,Full Data Optimized,Test,0.676592,0.603152,4,2,SMOTE on Training,K4R2
339,RFC,Full Data Optimized,Training,0.960739,0.887659,4,2,SMOTE on Training,K4R2
340,RFC,Full Data Optimized,Test,0.75456,0.750778,4,2,SMOTE on Training,K4R2
341,SVC,Full Data Optimized,Training,0.999994,0.997954,4,2,SMOTE on Training,K4R2
342,SVC,Full Data Optimized,Test,0.719142,0.737897,4,2,SMOTE on Training,K4R2
343,DT,Full Data Optimized,Training,1,1,4,2,SMOTE on Training,K4R2
344,DT,Full Data Optimized,Test,0.706319,0.738199,4,2,SMOTE on Training,K4R2
345,LR,Trimmed Data Optimized,Training,0.734563,0.632606,4,2,SMOTE on Training,K4R2
346,LR,Trimmed Data Optimized,Test,0.686053,0.607358,4,2,SMOTE on Training,K4R2
347,RFC,Trimmed Data Optimized,Training,0.992294,0.961789,4,2,SMOTE on Training,K4R2
348,RFC,Trimmed Data Optimized,Test,0.7778,0.798083,4,2,SMOTE on Training,K4R2
349,SVC,Trimmed Data Optimized,Training,0.997731,0.992678,4,2,SMOTE on Training,K4R2
350,SVC,Trimmed Data Optimized,Test,0.696105,0.737042,4,2,SMOTE on Training,K4R2
351,DT,Trimmed Data Optimized,Training,0.987428,0.932337,4,2,SMOTE on Training,K4R2
352,DT,Trimmed Data Optimized,Test,0.708596,0.745019,4,2,SMOTE on Training,K4R2
353,LR,Full Data Optimized,Training,0.72702,0.650068,4,3,SMOTE on Training,K4R3
354,LR,Full Data Optimized,Test,0.665958,0.599351,4,3,SMOTE on Training,K4R3
355,RFC,Full Data Optimized,Training,0.944917,0.881917,4,3,SMOTE on Training,K4R3
356,RFC,Full Data Optimized,Test,0.760079,0.756182,4,3,SMOTE on Training,K4R3
357,SVC,Full Data Optimized,Training,0.933424,0.865694,4,3,SMOTE on Training,K4R3
358,SVC,Full Data Optimized,Test,0.736211,0.725808,4,3,SMOTE on Training,K4R3
359,DT,Full Data Optimized,Training,0.991771,0.944616,4,3,SMOTE on Training,K4R3
360,DT,Full Data Optimized,Test,0.62432,0.663172,4,3,SMOTE on Training,K4R3
361,LR,Trimmed Data Optimized,Training,0.735824,0.642237,4,3,SMOTE on Training,K4R3
362,LR,Trimmed Data Optimized,Test,0.686899,0.616988,4,3,SMOTE on Training,K4R3
363,RFC,Trimmed Data Optimized,Training,0.993935,0.969202,4,3,SMOTE on Training,K4R3
364,RFC,Trimmed Data Optimized,Test,0.770645,0.814543,4,3,SMOTE on Training,K4R3
365,SVC,Trimmed Data Optimized,Training,0.998307,0.992697,4,3,SMOTE on Training,K4R3
366,SVC,Trimmed Data Optimized,Test,0.699889,0.734147,4,3,SMOTE on Training,K4R3
367,DT,Trimmed Data Optimized,Training,0.992931,0.949546,4,3,SMOTE on Training,K4R3
368,DT,Trimmed Data Optimized,Test,0.635094,0.706162,4,3,SMOTE on Training,K4R3
369,LR,Full Data Optimized,Training,0.72702,0.650068,4,4,SMOTE on Training,K4R4
370,LR,Full Data Optimized,Test,0.665958,0.599351,4,4,SMOTE on Training,K4R4
371,RFC,Full Data Optimized,Training,0.980197,0.909794,4,4,SMOTE on Training,K4R4
372,RFC,Full Data Optimized,Test,0.767262,0.756938,4,4,SMOTE on Training,K4R4
373,SVC,Full Data Optimized,Training,0.935211,0.87098,4,4,SMOTE on Training,K4R4
374,SVC,Full Data Optimized,Test,0.739442,0.739543,4,4,SMOTE on Training,K4R4
375,DT,Full Data Optimized,Training,1,1,4,4,SMOTE on Training,K4R4
376,DT,Full Data Optimized,Test,0.667486,0.710459,4,4,SMOTE on Training,K4R4
377,LR,Trimmed Data Optimized,Training,0.734849,0.638845,4,4,SMOTE on Training,K4R4
378,LR,Trimmed Data Optimized,Test,0.687561,0.610304,4,4,SMOTE on Training,K4R4
379,RFC,Trimmed Data Optimized,Training,0.997123,0.981974,4,4,SMOTE on Training,K4R4
380,RFC,Trimmed Data Optimized,Test,0.775637,0.78766,4,4,SMOTE on Training,K4R4
381,SVC,Trimmed Data Optimized,Training,0.9991,0.997899,4,4,SMOTE on Training,K4R4
382,SVC,Trimmed Data Optimized,Test,0.644543,0.729006,4,4,SMOTE on Training,K4R4
383,DT,Trimmed Data Optimized,Training,0.968488,0.894301,4,4,SMOTE on Training,K4R4
384,DT,Trimmed Data Optimized,Test,0.705674,0.729256,4,4,SMOTE on Training,K4R4
385,LR,Full Data Optimized,Training,0.72702,0.650068,5,2,SMOTE on Training,K5R2
386,LR,Full Data Optimized,Test,0.665958,0.599351,5,2,SMOTE on Training,K5R2
387,RFC,Full Data Optimized,Training,0.958606,0.890163,5,2,SMOTE on Training,K5R2
388,RFC,Full Data Optimized,Test,0.761505,0.756938,5,2,SMOTE on Training,K5R2
389,SVC,Full Data Optimized,Training,0.935211,0.87098,5,2,SMOTE on Training,K5R2
390,SVC,Full Data Optimized,Test,0.739442,0.739543,5,2,SMOTE on Training,K5R2
391,DT,Full Data Optimized,Training,1,1,5,2,SMOTE on Training,K5R2
392,DT,Full Data Optimized,Test,0.667486,0.710459,5,2,SMOTE on Training,K5R2
393,LR,Trimmed Data Optimized,Training,0.734174,0.635123,5,2,SMOTE on Training,K5R2
394,LR,Trimmed Data Optimized,Test,0.688023,0.610984,5,2,SMOTE on Training,K5R2
395,RFC,Trimmed Data Optimized,Training,0.996928,0.977656,5,2,SMOTE on Training,K5R2
396,RFC,Trimmed Data Optimized,Test,0.774864,0.784163,5,2,SMOTE on Training,K5R2
397,SVC,Trimmed Data Optimized,Training,0.999163,0.997899,5,2,SMOTE on Training,K5R2
398,SVC,Trimmed Data Optimized,Test,0.702992,0.734147,5,2,SMOTE on Training,K5R2
399,DT,Trimmed Data Optimized,Training,0.992931,0.949546,5,2,SMOTE on Training,K5R2
400,DT,Trimmed Data Optimized,Test,0.635094,0.706162,5,2,SMOTE on Training,K5R2
401,LR,Full Data Optimized,Training,0.72702,0.650068,5,3,SMOTE on Training,K5R3
402,LR,Full Data Optimized,Test,0.665958,0.599351,5,3,SMOTE on Training,K5R3
403,RFC,Full Data Optimized,Training,0.944917,0.881917,5,3,SMOTE on Training,K5R3
404,RFC,Full Data Optimized,Test,0.760079,0.756182,5,3,SMOTE on Training,K5R3
405,SVC,Full Data Optimized,Training,0.933424,0.865694,5,3,SMOTE on Training,K5R3
406,SVC,Full Data Optimized,Test,0.736211,0.725808,5,3,SMOTE on Training,K5R3
407,DT,Full Data Optimized,Training,0.984876,0.924716,5,3,SMOTE on Training,K5R3
408,DT,Full Data Optimized,Test,0.666393,0.685237,5,3,SMOTE on Training,K5R3
409,LR,Trimmed Data Optimized,Training,0.738691,0.64059,5,3,SMOTE on Training,K5R3
410,LR,Trimmed Data Optimized,Test,0.678812,0.609008,5,3,SMOTE on Training,K5R3
411,RFC,Trimmed Data Optimized,Training,0.996404,0.974504,5,3,SMOTE on Training,K5R3
412,RFC,Trimmed Data Optimized,Test,0.777411,0.787477,5,3,SMOTE on Training,K5R3
413,SVC,Trimmed Data Optimized,Training,0.999163,0.997899,5,3,SMOTE on Training,K5R3
414,SVC,Trimmed Data Optimized,Test,0.702992,0.734147,5,3,SMOTE on Training,K5R3
415,DT,Trimmed Data Optimized,Training,0.969483,0.901433,5,3,SMOTE on Training,K5R3
416,DT,Trimmed Data Optimized,Test,0.675741,0.709471,5,3,SMOTE on Training,K5R3
417,LR,Full Data Optimized,Training,0.72702,0.650068,5,4,SMOTE on Training,K5R4
418,LR,Full Data Optimized,Test,0.665958,0.599351,5,4,SMOTE on Training,K5R4
419,RFC,Full Data Optimized,Training,0.941256,0.874816,5,4,SMOTE on Training,K5R4
420,RFC,Full Data Optimized,Test,0.757725,0.775708,5,4,SMOTE on Training,K5R4
421,SVC,Full Data Optimized,Training,0.999994,0.997944,5,4,SMOTE on Training,K5R4
422,SVC,Full Data Optimized,Test,0.716003,0.748945,5,4,SMOTE on Training,K5R4
423,DT,Full Data Optimized,Training,0.997505,0.970977,5,4,SMOTE on Training,K5R4
424,DT,Full Data Optimized,Test,0.64701,0.669227,5,4,SMOTE on Training,K5R4
425,LR,Trimmed Data Optimized,Training,0.737735,0.638283,5,4,SMOTE on Training,K5R4
426,LR,Trimmed Data Optimized,Test,0.683408,0.623188,5,4,SMOTE on Training,K5R4
427,RFC,Trimmed Data Optimized,Training,0.999098,0.989439,5,4,SMOTE on Training,K5R4
428,RFC,Trimmed Data Optimized,Test,0.783731,0.786254,5,4,SMOTE on Training,K5R4
429,SVC,Trimmed Data Optimized,Training,0.999175,0.997899,5,4,SMOTE on Training,K5R4
430,SVC,Trimmed Data Optimized,Test,0.689902,0.744985,5,4,SMOTE on Training,K5R4
431,DT,Trimmed Data Optimized,Training,0.966602,0.888826,5,4,SMOTE on Training,K5R4
432,DT,Trimmed Data Optimized,Test,0.684798,0.723056,5,4,SMOTE on Training,K5R4
