AssetID,Invest_ID,Address,Asset_Type,StreetWater,Inspection Date,Depth,Clogging,Clogging score,Clog_Flooding,C_Flood no missing,Cons. location (C/F),Cons. location (C/F) score,Flooding design std.,flood design score,Flood_Resp,Flood_LOF,Flood_COF,Flood_Risk,Crit_Defect,Cond_Resp,Cond_LOF,Cond_COF,Cond_Risk,LOF,COF,Risk,OBJECTID,PIPE_ID,INV_DATE,TYPE,PI_SHAPE,PI_SHP_OTH,PACP_Shape,"DIAMETER,FT",DIAM_OTHER,PIPE_RISE,PIPE_SPAN,"PACP_Heigh, IN",PACP_Width,PACP_Notes,MATERIAL,PACP_Mater,US_ID,US_DEPTH,US_INVERT,US_ELEV,US_FUNC,DS_ID,DS_DEPTH,DS_INVERT,DS_ELEV,DS_FUNC,SLOPE,ENABLED,CONST_DATE,Age at inspection,Active,EditDate,ShapeSTLen,MUKEY,Soil Type,soil descriptio,hydrologic,Hydro  group encoded,"Precipitation, mon avg, in."
78981,11033,1825 Back Creek Dr,structure,yes,12/16/2019,4.7,greater_than_75%,10,yes,yes,local,6,,2,10,4.8,6.2,29.76,1,0,1.4,2,2.8,2.76,3.68,10.1568,7566814,INVEN.94583-PP,9/13/2009,Pipe,Circular, ,C,3,0,0,0,36,0, ,Concrete,RCP,INVEN.94583,10,759.2,769.2,Yes,INVEN.94585,11,757.5,768.5,Yes,0,0,12/15/2002,17.00,1,3/26/2018,33.09903173,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.686
79048,11547,1919 Bangor Rd,pipe,yes,9/12/2019,3.4,less_than_25%,0,no,no,local,6,fails_retrofit,8,10,5.2,5,26,1,0,1.4,0.8,1.12,2.92,2.48,7.2416,7677823,SDTOPOH34-0006-P,9/14/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,SDTOPOH34-0006,3.4,574.6,578,Yes,SDTOPOH34-0007,6,573,579,Yes,0.06492794,0,12/12/1977,41.75,1,2/16/2021,24.64270491,113681,MkB,"Mecklenburg-Urban land complex, 2 to 8 percent slopes",C,2,3.72
79049,11547,1919 Bangor Rd,pipe,no,7/12/2019,3.1,less_than_25%,0,no,no,local,6,fails_retrofit,8,10,5.2,0,0,1,0,2.8,0,0,3.76,0,0,7605379,SDTOPOH34-0007-P,9/15/2009,Pipe,Circular, ,C,2.5,0,0,0,30,0, ,Metal or Steel,CMP,SDTOPOH34-0007,6.2,572.8,579,Yes,SDTOPOH34-0008,0,0,577,Yes,0,0,12/12/1977,41.58,1,2/16/2021,42.6339071,113677,MO,Monacan loam,C,2,3.72
79075,11532,1351 Choyce Av,pipe,yes,9/11/2019,3,between_25%_to_50%,5,no,no,n_a,0,fails_cds_meets_retrofit,3,10,3.7,2.3,8.51,1,10,1.4,5.9,8.26,2.32,4.46,10.3472,7565194,SUG644-7829-P,9/16/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,SUG644-7829,3.35,662.65,666,No,SDTOPOH34-0062,1.4,659.6,661,UNK,0.02439661,0,12/1/1998,20.78,1,2/16/2021,125.0173676,113681,MkB,"Mecklenburg-Urban land complex, 2 to 8 percent slopes",C,2,3.718
79291,11322,221 Farmhurst dr.,pipe,yes,9/9/2019,5,greater_than_75%,10,yes,yes,local,6,fails_cds_meets_retrofit,3,10,5.45,5,27.25,1,0,1.4,0.8,1.12,3.02,2.48,7.4896,7693617,SDTOPOI35-0106-P,9/17/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,SDTOPOI35-0106,0,0,664,No,SDTOPOI35-0105,0,0,654,UNK,0,0,1/1/1965,54.69,1,2/16/2021,90.73323265,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.718
79292,11322,221 Farmhurst Dr.,pipe,yes,9/9/2019,5,less_than_25%,0,no,no,local,6,fails_cds_meets_retrofit,3,10,1.95,5,9.75,1,0,1.4,0.8,1.12,1.62,2.48,4.0176,7625629,SDTOPOI35-0107-P,9/18/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,SDTOPOI35-0107,0,0,664,No,SDTOPOI35-0106,0,0,664,No,0,0,2/4/1974,45.60,1,2/16/2021,41.71575427,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.718
79293,11322,221 Farmhurst Dr.,pipe,yes,9/9/2019,2.8,less_than_25%,0,no,no,local,6,fails_cds_meets_retrofit,3,10,1.95,5,9.75,1,0,1.4,0.8,1.12,1.62,2.48,4.0176,7636466,SDTOPOI35-0108-P,9/19/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,SDTOPOI35-0108,2.8,662.2,665,No,SDTOPOI35-0107,0,0,664,No,0,0,2/4/1974,45.60,1,2/16/2021,32.4770531,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.718
79400,22257,2810 COLISEUM CENTRE DR,structure,yes,4/20/2021,15,less_than_25%,0,no,no,,0,,2,0,1.3,2.9,3.77,1,0,3,3.8,11.4,2.32,3.44,7.9808,7709440,ANDR6618.0006-P,9/20/2009,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Concrete,RCP,ANDR6618.0006,7.7,741.3,749,Yes,ANDR6618.0005,9,739,748,Yes,0.08505653,0,3/20/2012,11.58,1,2/16/2021,27.04083908,113671,HeB,"Helena sandy loam, 2 to 8 percent slopes",C,2,3.806
79670,19630,305 TRIBUNE DR ,pipe,yes,2/9/2021,6,less_than_25%,0,no,no,,0,,2,10,1.3,2.3,2.99,4,10,8.6,4.1,35.26,5.68,3.38,19.1984,7691897,INVEN.27760-PP,9/21/2009,Pipe,Circular, ,C,1.5,0,0,0,18,0, ,Concrete,RCP,INVEN.27760,4.8,738.1,742.9,Yes,INVEN.27762,8,733.4,741.4,Yes,0,0,8/22/2003,17.47,1,3/26/2018,107.2091902,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.751
79751,11111,265 Enwood Dr,pipe,yes,3/9/2020,7.09,less_than_25%,0,no,no,local,6,fails_cds_meets_retrofit,3,10,1.95,5.6,10.92,1,10,6.2,5.6,34.72,4.5,5.6,25.2,7659537,INVEN.32104-PP,9/22/2009,Pipe,Circular, ,C,3.5,0,0,0,42,0, ,Concrete,RCP,INVEN.32104,0,657.7,657.7,Yes,INVEN.32106,0,657,657,Yes,0,0,7/1/1982,37.69,1,3/26/2018,61.21126428,113694,WkE,"Wilkes loam, 15 to 25 percent slopes",D,4,3.759
79752,11111,921 Coulwood Dr,pipe,yes,3/9/2020,6.2,less_than_25%,0,no,no,local,6,fails_retrofit,8,10,5.2,5.6,29.12,1,10,6.2,5.6,34.72,5.8,5.6,32.48,7597902,INVEN.32108-PP,9/23/2009,Pipe,Circular, ,C,3.5,0,0,0,42,0, ,Concrete,RCP,INVEN.32108,0,650.8,650.8,Yes,INVEN.32110,0,649.8,649.8,Yes,0,0,7/1/1982,37.69,1,3/26/2018,72.02009718,113694,WkE,"Wilkes loam, 15 to 25 percent slopes",D,4,3.759
79920,11192,918 Valley Ridge Rd,pipe,yes,6/4/2020,14,between_25%_to_50%,5,no,no,local,6,meets_cds,0,10,1.75,7.1,12.425,1,0,1.4,2.9,4.06,1.54,4.58,7.0532,7608112,INVEN.34305-PP,9/24/2009,Pipe,Circular, ,C,5,0,0,0,60,0, ,Concrete,RCP,INVEN.34305,0,700.2,700.2,Yes,INVEN.34307,0,699.5,699.5,Yes,0,0,1/17/2003,17.38,1,3/26/2018,56.77587089,113683,PaE,"Pacolet sandy loam, 15 to 25 percent slopes",B,1,3.751
79921,11521,822 VALLEY RIDGE RD ,pipe,yes,9/18/2019,8.65,less_than_25%,0,no,no,n_a,0,,2,0,1.3,1.2,1.56,1,0,4.6,2.1,9.66,3.28,1.74,5.7072,7610862,INVEN.34309-PP,9/25/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,INVEN.34309,6.3,725.8,732.1,Yes,INVEN.34311,11,725,736,Yes,0,0,1/17/2003,16.67,1,3/26/2018,99.4372472,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.751
