AssetID,Invest_ID,Address,Asset_Type,StreetWater,Inspection Date,Depth,Clogging,Clogging score,Clog_Flooding,C_Flood no missing,Cons. location (C/F),Cons. location (C/F) score,Flooding design std.,flood design score,Flood_Resp,Flood_LOF,Flood_COF,Flood_Risk,Crit_Defect,Cond_Resp,Cond_LOF,Cond_COF,Cond_Risk,LOF,COF,Risk,OBJECTID,PIPE_ID,INV_DATE,TYPE,PI_SHAPE,PI_SHP_OTH,PACP_Shape,"DIAMETER,FT",DIAM_OTHER,PIPE_RISE,PIPE_SPAN,"PACP_Heigh, IN",PACP_Width,PACP_Notes,MATERIAL,PACP_Mater,US_ID,US_DEPTH,US_INVERT,US_ELEV,US_FUNC,DS_ID,DS_DEPTH,DS_INVERT,DS_ELEV,DS_FUNC,SLOPE,ENABLED,CONST_DATE,Age at inspection,Active,EditDate,ShapeSTLen,MUKEY,Soil Type,soil descriptio,hydrologic,Hydro  group encoded,"Precipitation, mon avg, in."
56,12263,940 N. Davidson St.,pipe,yes,12/23/2019,1.5,greater_than_75%,10,yes,yes,thoroughfare,10,unknown,2,10,4.8,6.8,32.64,1,0,1.4,0.8,1.12,2.76,3.2,8.832,7601608,SBMKT08.655-PP1,10/2/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,SBMKT08.655,1.9,699.1,701,No,SBMKT08.656,1.3,698.7,700, ,0.01480084,0,9/10/1962,57.29,1,2/16/2021,27.02548948,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.777
166,12900,12423 JACQUELYN CT ,structure,yes,2/27/2020,3.5,less_than_25%,0,no,no,local,6,,2,10,1.3,5,6.5,1,10,3.8,5,19,2.8,5,14,7684662,CHARX.31761-P,10/3/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.31761,6.2,644.8,651,Yes,CHARX.31762,5.8,644.2,650,Yes,0.01263247,1,1/1/1997,23.16,1,2/16/2021,47.49665897,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.714
445,10967,2901 Oneida Rd,structure,yes,3/2/2020,10,less_than_25%,0,no,no,collector_,8,,2,10,1.3,7.5,9.75,1,0,1.4,2.4,3.36,1.36,4.44,6.0384,7593760,CHARX.36074-PP1,10/4/2008,Pipe,Circular, ,C,1,0,0,0,12,0, ,Concrete,RCP,CHARX.36074,1,815,816,Yes,CHARX.36079,1,814,815,Yes,0.04316632,1,1/1/1982,38.17,1,8/15/2018,23.16620955,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.826
1632,12504,2323 CENTER PARK DR ,structure,yes,1/22/2020,15.2,less_than_25%,0,no,no,,0,,2,5,1.3,4.25,5.525,1,5,8.6,4.25,36.55,5.68,4.25,24.14,7572530,CHARX.42150-P,10/5/2008,Pipe,Circular, ,C,2,0,0,0,36,0, ,Concrete,RCP,CHARX.42150,16,615,631,Yes,CHARX.42152,2.3,607.7,610,Yes,0.1118253,1,1/0/1900,120.06,1,3/29/2021,65.28039996,113683,PaE,"Pacolet sandy loam, 15 to 25 percent slopes",B,1,3.717
1884,21077,6353 Kelsey Dr.,pipe,yes,12/21/2020,3,between_50%_to_75%,7,no,no,,0,unknown,2,5,3.75,1.55,5.8125,1,0,1.4,0.8,1.12,2.34,1.1,2.574,7606428,CHARX.43520-P,10/6/2008,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Concrete,RCP,CHARX.43520,6,728,734,Yes,CHARX.43521,0,0,741,UNK,0,1,4/3/2009,12.21,1,2/16/2021,20.71437547,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.735
2308,10953,1225 Weymouth Ln,structure,yes,9/27/2017,7.2,less_than_25%,0,no,no,local,6,unknown,2,10,1.3,6.2,8.06,1,10,7.8,6.2,48.36,5.2,6.2,32.24,7651475,CHARX.47774-P,10/7/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.47774,2,589,591,Yes,SUG649-7642,1.5,588.5,590,Yes,0.00845261,1,1/0/1900,117.74,1,2/16/2021,59.15335659,113674,IrB,"Iredell fine sandy loam, 1 to 8 percent slopes",C/D,3,3.713
4046,22851,5901 Sardis Rd,pipe,yes,5/24/2021,3.8,less_than_25%,0,no,no,,0,meets_cds,0,10,0,2.3,0,1,10,4.6,6.8,31.28,2.76,5,13.8,7673376,CHARX.55245-P,10/8/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.55245,3.8,740.2,744,Yes,CHARX.55246,4.2,737.8,742,Yes,0.04280972,1,1/1/1963,58.39,1,1/16/2020,56.06203706,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.788
4845,11195,5722 Southminster Ln,pipe,yes,5/4/2020,26,less_than_25%,0,no,no,collector_,8,meets_cds,0,10,0,8,0,1,10,5.4,8,43.2,3.24,8,25.92,7664244,CHARX.80349-PP1,10/9/2008,Pipe,Circular,1x culvert,C,6,0,0,0,72,0, ,Concrete,RCP,CHARX.80349,8.5,731.98,739.48,Yes,LON309-SWO116616,8.5,729.78,738.28,Yes,0,1,8/14/2003,16.72,1,3/26/2018,78.1488345,113665,EnB,"Enon sandy loam, 2 to 8 percent slopes",C,2,3.804
5391,18125,8115 Sealey Ct,connectivity,yes,7/24/2020,1,less_than_25%,0,no,no,crawl_space,3,fails_retrofit,8,0,5.2,2.15,11.18,1,0,4.2,1.7,7.14,4.6,1.88,8.648,7670478,CHARX.80317-PP1,10/10/2008,Pipe,Circular, ,C,2.5,0,0,0,30,0, ,Concrete,RCP,CHARX.80317,5.5,809.7,815.2,Yes,CHARX.80318,6,808.6,814.6,Yes,0,1,9/14/2000,19.86,1,3/26/2018,221.5109991,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.822
5547,24146,5710 Cary Ridge Dr,pipe,yes,9/21/2021,5,less_than_25%,0,no,no,,0,unknown,2,10,1.3,2.3,2.99,1,10,6.2,5.9,36.58,4.24,4.46,18.9104,7550424,CHARX.58452-P,10/11/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.58452,6.1,645.9,652,Yes,CHARX.58453,3.8,644.2,648,Yes,0.00759566,1,1/1/1990,31.72,1,2/16/2021,223.8121497,113674,IrB,"Iredell fine sandy loam, 1 to 8 percent slopes",C/D,3,3.756
6690,20371,4700 Heatherton Pl Charlotte NC,pipe,yes,10/29/2020,7,did_not_inspect,0,no,no,,0,unknown,2,0,1.3,1.4,1.82,1,0,7.8,2.3,17.94,5.2,1.94,10.088,7697953,CHARX.60501-P,10/12/2008,Pipe,Circular, ,C,3,0,0,0,36,0, ,Concrete,RCP,CHARX.60501,7.8,685.2,693,Yes,CHARX.60502,3.4,680.6,684,Yes,0.00520862,1,1/1/1996,24.83,1,9/30/2021,193.2871284,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.753
6741,12084,3433 Arklow Rd,pipe,yes,12/5/2019,4,less_than_25%,0,,no,,0,,2,0,1.3,1.4,1.82,1,0,1.4,1.4,1.96,1.36,1.4,1.904,7682095,CHARX.84152-PP1,10/13/2008,Pipe,Circular, ,C,2.5,0,0,0,30,0, ,Concrete,RCP,CHARX.84152,8.33,662.1,670.43,Yes,CHARX.84146,0,661.1,661.1,Yes,0,1,8/28/1998,21.27,1,3/26/2018,166.2422548,113677,MO,Monacan loam,C,2,3.849
6831,11208,9120 E W T HARRIS BV ,structure,yes,6/3/2020,6,less_than_25%,0,no,no,thoroughfare,10,,2,10,1.3,8.6,11.18,1,10,6.2,5,31,4.24,6.44,27.3056,7648061,CHARX.83430-P,10/14/2008,Pipe,Circular, ,C,2,0,0,0,24,0, ,Concrete,RCP,CHARX.83430,3.83,707.5,711.33,Yes,CHARX.83435,4.6,706.6,711.27,Yes,0,1,7/9/1997,22.90,1,4/19/2021,151.4405475,113689,VaB,"Vance sandy loam, 2 to 8 percent slopes",C,2,3.865
6832,11208,9120 E W T HARRIS BV ,structure,yes,6/3/2020,6.7,less_than_25%,0,no,no,thoroughfare,10,,2,10,1.3,8.6,11.18,1,10,6.2,5,31,4.24,6.44,27.3056,7556684,CHARX.85362-PP1,10/15/2008,Pipe,Circular, ,C,1,0,0,0,12,0, ,Concrete,RCP,CHARX.85362,0,796.9,796.9,Yes,CHARX.85360,0,796.3,796.3,Yes,0,1,1/1/1957,63.42,1,3/26/2018,19.17191935,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.887
6910,19155,1601 Remount AV,pipe,yes,7/7/2021,4.5,less_than_25%,0,no,no,,0,,2,10,1.3,2.3,2.99,4,10,7.8,5,39,5.2,3.92,20.384,7718674,CHARX.39885-P,10/16/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.39885,6.5,700.68,707.18,Yes,CHARX.39887,3,693,696,UNK,0.02241911,1,1/1/2003,18.52,1,2/16/2021,342.5648849,113688,Ur,Urban land,N/A,4,3.729
6910,19155,1601 Remount AV,pipe,yes,7/7/2021,4.5,less_than_25%,0,no,no,,0,,2,10,1.3,2.3,2.99,3,10,8.6,5,43,5.68,3.92,22.2656,7718674,CHARX.39885-P,10/17/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.39885,6.5,700.68,707.18,Yes,CHARX.39887,3,693,696,UNK,0.02241911,1,1/1/2003,18.52,1,2/16/2021,342.5648849,113688,Ur,Urban land,N/A,4,3.729
7192,24045,8401 Brownes Pond Ln,pipe,yes,9/21/2021,5,less_than_25%,0,no,no,,0,unknown,2,0,1.3,0.8,1.04,1,10,7,5.9,41.3,4.72,3.86,18.2192,7580880,CHARX.61329-P,10/18/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.61329,5.3,617.7,623,Yes,CHARX.61330,4.6,608.4,613,Yes,0.04440649,1,1/1/1990,31.72,1,7/7/2021,209.428826,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.758
7201,10953,1225 Weymouth Ln,structure,yes,9/27/2017,7.2,less_than_25%,0,no,no,local,6,,2,0,1.3,4.7,6.11,1,0,3.8,4.7,17.86,2.8,4.7,13.16,7560721,FRM133-7423-P,10/19/2008,Pipe,Circular, ,C,1.5,0,0,0,15,0, ,Concrete,RCP,FRM133-7423,6.6,668.4,675,Yes,CHARX.61420,7.1,667.9,675,Yes,0.01143309,1,1/26/2004,13.67,1,9/30/2021,87.53088991,113679,MeB,"Mecklenburg fine sandy loam, 2 to 8 percent slopes",C,2,3.759
7491,12527,2119 Kenmore Ave,structure,yes,1/23/2020,2.4,,0,no,no,,0,,2,0,1.3,0.8,1.04,1,0,2.2,0.8,1.76,1.84,0.8,1.472,7678170,CHARX.62421-P,10/20/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.62421,6.33,593.67,600,UNK,CHARX.62422,4.4,593.6,598,Yes,0.0022696,1,1/1/1999,21.06,1,2/16/2021,30.84241784,113679,MeB,"Mecklenburg fine sandy loam, 2 to 8 percent slopes",C,2,3.694
8069,20584,7808 Montbrook Dr,structure,yes,1/5/2021,0.1,less_than_25%,0,no,no,,0,,2,10,1.3,2.3,2.99,1,0,1.4,0.8,1.12,1.36,1.4,1.904,7702591,CHARX.87760-PP1,10/21/2008,Pipe,Circular, ,C,1.5,0,0,0,18,0, ,Concrete,RCP,CHARX.87760,3.83,797.6,801.43,Yes,CHARX.87826,3.3,794.7,798,Yes,0,1,1/1/1985,36.01,1,3/26/2018,239.0348056,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.918
8961,17242,4627 Eaves Ln,pipe,yes,5/4/2020,5,greater_than_75%,10,no,no,,0,,2,10,4.8,3.5,16.8,1,10,7.8,6.2,48.36,6.6,5.12,33.792,7579945,CHARX.17355-P,10/22/2008,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Concrete,RCP,CHARX.17355,5,696.3,701.3,Yes,CHARX.17356,4.7,696.1,700.8,Yes,0.00275746,1,4/16/1993,27.05,1,3/20/2018,72.53028273,113672,HuB,"Helena-Urban land complex, 2 to 8 percent slopes",C,2,3.87
9033,11636,1435 QUAIL ST ,channel,yes,9/25/2019,1.2,less_than_25%,0,no,no,n_a,0,,2,0,1.3,2,2.6,1,0,5,2,10,3.52,2,7.04,7719727,CHARX.68257-PP1,10/23/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.68257,3.5,626.8,630.3,Yes,CHARX.68268,2.93,626.6,629.53,Yes,0,1,3/12/1997,22.54,1,3/26/2018,38.79657657,113674,IrB,"Iredell fine sandy loam, 1 to 8 percent slopes",C/D,3,3.707
9215,22257,2810 COLISEUM CENTRE DR,pipe,yes,4/20/2021,3,less_than_25%,0,no,no,,0,,2,0,1.3,0.8,1.04,1,0,1.4,0.8,1.12,1.36,0.8,1.088,7724926,CHARX.41754-P,10/24/2008,Pipe,Circular, ,C,2,0,0,0,24,0, ,Concrete,RCP,CHARX.41754,8.5,601.5,610,Yes,CHARX.41755,5.2,596.8,602,Yes,0.09060188,1,1/1/1998,23.30,1,3/29/2021,51.87530567,113677,MO,Monacan loam,C,2,3.717
9999,11189,9011 Morgan Downs Ct,structure,yes,1/8/2020,9.5,less_than_25%,0,no,no,local_limited,8,,2,10,1.3,8.1,10.53,1,0,1.4,3,4.2,1.36,5.04,6.8544,7547829,CHARX.90940-P,10/25/2008,Pipe,Circular, ,C,2.5,0,0,0,30,0, ,Concrete,RCP,CHARX.90940,12.7,732,744,Yes,CHARX.90935,8.4,730.7,739.7,Yes,0,1,8/10/2001,18.41,1,6/3/2021,89.43449012,113674,IrB,"Iredell fine sandy loam, 1 to 8 percent slopes",C/D,3,3.681
10146,11033,1825 Back Creek Dr,pipe,yes,12/16/2019,6.7,less_than_25%,0,no,no,local,6,fails_retrofit,8,0,5.2,4.1,21.32,1,0,8.4,2.3,19.32,7.12,3.02,21.5024,7675778,CHARX.71344-P,10/26/2008,Pipe,Circular, ,C,3.5,0,0,0,42,0, ,Metal or Steel,CMP,CHARX.71344,4.5,701.5,706,Yes,CHARX.71351,9.2,699.8,709,Yes,0.04040204,1,2/1/2002,17.87,1,2/16/2021,42.07708126,113677,MO,Monacan loam,C,2,3.883
11089,13536,3616 Denson Pl,pipe,yes,4/27/2020,2.75,,0,,no,,0,,2,0,1.3,0.8,1.04,1,10,6.2,5.9,36.58,4.24,3.86,16.3664,7594441,CHARX.69479-PP1,10/27/2008,Pipe,Circular, ,C,1.5,0,0,0,18,0, ,Concrete,RCP,CHARX.69479,7,578.3,585.3,Yes,CHARX.69475,0,577,577,Yes,0,1,3/12/2003,17.13,1,3/26/2018,32.92854383,113680,MeD,"Mecklenburg fine sandy loam, 8 to 15 percent slopes",C,2,3.705
11274,11106,2226 Lanier Av,pipe,yes,12/11/2019,8.9,less_than_25%,0,no,no,collector_,8,meets_cds,0,10,0,7.5,0,1,0,1.4,2.4,3.36,0.84,4.44,3.7296,7690633,CHARX.23589-P,10/28/2008,Pipe,Circular, ,C,4,0,0,0,48,0, ,Concrete,RCP,CHARX.23589,8.49,721.51,730,Yes,CHARX.23590,9,721,730,Yes,0.0123262,1,6/30/2002,17.45,1,2/16/2021,41.37529837,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.805
11279,11106,2226 Lanier Av,pipe,yes,12/11/2019,9.3,less_than_25%,0,no,no,collector_,8,meets_cds,0,10,0,7.5,0,1,10,6.8,4.8,32.64,4.08,5.88,23.9904,7612776,CHARX.23590-P,10/29/2008,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Metal or Steel,CMP,CHARX.23590,9.3,720.7,730,Yes,CHARX.23593,0,0,725,UNK,0,1,6/30/2002,17.45,1,2/16/2021,121.2174737,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.805
11308,10927,10225 Western Ridge Rd,pipe,yes,5/22/2019,12.5,less_than_25%,0,no,no,collector_,8,meets_cds,0,10,0,8.6,0,1,10,8.4,8.6,72.24,5.04,8.6,43.344,7675909,CHARX.69239-P,10/30/2008,Pipe,Circular,1x culvert,C,9999,7.5,0,0,84,0, ,Metal or Steel,CMP,CHARX.69239,7.6,591.5,591.5,Yes,STE610-SWO117719,0,0,590.8,Yes,0,1,3/22/2000,19.17,1,12/9/2021,73.65626734,113673,IrA,"Iredell fine sandy loam, 0 to 1 percent slopes",C/D,3,3.71
11384,18564,15129 Strathmor Dr,connectivity,yes,6/30/2020,0.5,greater_than_75%,10,yes,yes,thoroughfare,10,fails_retrofit,8,10,8.7,6.8,59.16,1,0,1.8,0.8,1.44,4.56,3.2,14.592,7710772,CHARX.69473-P,10/31/2008,Pipe,Circular, ,C,1.5,0,0,0,18,0, ,Concrete,RCP,CHARX.69473,5,578,583,Yes,CHARX.69472,0,577.5,577.5,Yes,0,1,3/12/2003,17.31,1,3/3/2021,12.91219227,113680,MeD,"Mecklenburg fine sandy loam, 8 to 15 percent slopes",C,2,3.705
11385,18564,15129 Strathmor Dr,connectivity,yes,6/30/2020,0.5,greater_than_75%,10,yes,yes,thoroughfare,10,fails_retrofit,8,10,8.7,6.8,59.16,1,0,1.8,0.8,1.44,4.56,3.2,14.592,7690495,CHARX.69604-PP1,11/1/2008,Pipe,Circular, ,C,1,0,0,0,12,0, ,Concrete,RCP,CHARX.69604,3,623.2,626.2,Yes,CHARX.69884,0,620,0,Yes,0,1,3/13/2003,17.30,1,3/26/2018,137.8671847,113674,IrB,"Iredell fine sandy loam, 1 to 8 percent slopes",C/D,3,3.707
11539,12741,1201 GUM TREE LN,connectivity,yes,2/11/2020,1.5,greater_than_75%,10,yes,yes,driveway_private_drive,4,fails_retrofit,8,0,8.7,3.2,27.84,1,0,1.8,1.4,2.52,4.56,2.12,9.6672,7565749,CHARX.45318-P,11/2/2008,Pipe,Circular, ,C,6,0,0,0,72,0, ,Metal or Steel,CMP,CHARX.45318,17.1,599.9,617,Yes,CHARX.45317,21.3,598.7,620,Yes,0.01769693,1,1/1/1989,31.11,1,2/16/2021,67.80836216,113688,Ur,Urban land,N/A,4,3.719
11798,21231,12325 Creektree Ct,pipe,yes,1/13/2021,3.5,less_than_25%,0,no,no,,0,,2,5,1.3,1.55,2.015,1,5,7.8,2.45,19.11,5.2,2.09,10.868,7678510,CHARX.94622-PP1,11/3/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.94622,3.75,609.6,613.35,Yes,LKW239-0720,0,608,608,Yes,0,1,11/8/2001,19.18,1,2/16/2021,118.5846727,113693,WkD,"Wilkes loam, 8 to 15 percent slopes",D,4,3.691
11986,22239,8534 Brookstead Dr.,pipe,yes,7/6/2021,5,less_than_25%,0,no,no,,0,,2,10,1.3,2.3,2.99,1,0,1.4,0.8,1.12,1.36,1.4,1.904,7579338,CHARX.71012-PP1,11/4/2008,Pipe,Circular, ,C,1.5,0,0,0,18,0, ,Concrete,RCP,CHARX.71012,4.5,619.6,624.1,Yes,CHARX.71013,5.7,617.2,622.9,Yes,0,1,3/10/2003,18.33,1,2/16/2021,33.67486366,113671,HeB,"Helena sandy loam, 2 to 8 percent slopes",C,2,3.826
12129,10932,2964 Dunlavin Way,structure,yes,5/15/2019,8.5,less_than_25%,0,no,no,ffe_principal_structure,8,meets_cds,0,10,0,8.1,0,1,10,5.4,5.4,29.16,3.24,6.48,20.9952,7614231,CHARX.71057-PP1,11/5/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.71057,3.5,645.3,648.8,Yes,CHARX.71059,5.78,643.5,649.28,Yes,0,1,8/18/2003,15.74,1,3/26/2018,75.00134615,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.822
12332,18911,8003 Cadmium Ct.,pipe,yes,7/21/2020,12,,0,,no,,0,,2,0,1.3,2.4,3.12,1,10,7.8,6.6,51.48,5.2,4.92,25.584,7552666,CHARX.70638-PP1,11/6/2008,Pipe,Circular, ,C,4,0,0,0,48,0, ,Concrete,RCP,CHARX.70638,13.7,685.2,698.9,Yes,CHARX.70639,13.3,681.7,695,Yes,0,1,1/1/1988,32.55,1,3/26/2018,144.4267171,113694,WkE,"Wilkes loam, 15 to 25 percent slopes",D,4,3.84
12581,12017,15011 ASHLIGHT DR,pipe,yes,12/18/2019,5.3,less_than_25%,0,no,no,,0,,2,10,1.3,2.3,2.99,1,10,1.4,5,7,1.36,3.92,5.3312,7623669,CHARX.70277-P,11/7/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.70277,5.67,654.33,660,Yes,CHARX.70278,4.2,653.8,658,Yes,0.00510533,1,3/14/2003,16.77,1,8/21/2019,103.8131113,113683,PaE,"Pacolet sandy loam, 15 to 25 percent slopes",B,1,3.711
12625,12107,15011 Ashlight DR,pipe,yes,12/18/2019,5.5,less_than_25%,0,no,no,,0,,2,10,1.3,2.3,2.99,1,0,1.4,0.8,1.12,1.36,1.4,1.904,7585838,CHARX.70278-P,11/8/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.70278,5.5,652.5,658,Yes,CHARX.70279,7,651,658,Yes,0.0581679,1,3/14/2003,16.77,1,8/21/2019,25.7874209,113683,PaE,"Pacolet sandy loam, 15 to 25 percent slopes",B,1,3.711
12676,13391,652 Ideal Way,structure,yes,4/2/2020,4.7,,0,,no,,0,,2,0,1.3,1.4,1.82,1,0,2.2,4.1,9.02,1.84,3.02,5.5568,7559379,CHARX.94747-PP1,11/9/2008,Pipe,Circular, ,C,2,0,0,0,24,0, ,Concrete,RCP,CHARX.94747,5.3,635.4,640.7,Yes,CHARX.94749,5.9,632.2,638.1,Yes,0,1,3/13/2003,17.06,1,3/26/2018,275.9867687,113679,MeB,"Mecklenburg fine sandy loam, 2 to 8 percent slopes",C,2,3.698
12813,19165,6621 Santa Cruz Tl,structure,yes,8/24/2020,5,,0,,no,,0,,2,0,1.3,1.4,1.82,1,10,6.6,3.8,25.08,4.48,2.84,12.7232,7641692,CHARX.70259-P,11/10/2008,Pipe,Circular, ,C,5,0,0,0,60,0, ,Concrete,RCP,CHARX.70259,7.8,651.2,659,Yes,CHARX.70260,7.9,651.1,659,Yes,0.00384379,1,3/14/2003,17.45,1,2/16/2021,26.0159604,113683,PaE,"Pacolet sandy loam, 15 to 25 percent slopes",B,1,3.712
12937,11033,1825 Back Creek Dr,pipe,yes,12/16/2019,14,did_not_inspect,0,no,no,local,6,meets_cds,0,10,0,7.1,0,1,0,1.4,2.9,4.06,0.84,4.58,3.8472,7711357,CHARX.71352-P,11/11/2008,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Concrete,RCP,CHARX.71352,14,697,711,Yes,CHARX.71353,14,697,711,Yes,0,1,2/1/2002,17.87,1,2/16/2021,37.55568373,113677,MO,Monacan loam,C,2,3.883
12997,11033,1825 Back Creek Dr,pipe,yes,12/16/2109,11.45,did_not_inspect,0,no,no,local,6,meets_cds,0,10,0,6.6,0,1,0,1.4,2.4,3.36,0.84,4.08,3.4272,7549795,CHARX.71351-P,11/12/2008,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Concrete,RCP,CHARX.71351,8.9,700.1,709,Yes,CHARX.71352,14,697,711,Yes,0.01040288,1,3/8/2001,108.77,1,2/16/2021,297.9944106,113677,MO,Monacan loam,C,2,3.883
13076,11033,1825 Back Creek Dr,pipe,yes,12/16/2019,9.35,did_not_inspect,0,no,no,local,6,meets_cds,0,10,0,6.6,0,1,0,1.4,2.4,3.36,0.84,4.08,3.4272,7646191,CHARX.71353-P,11/13/2008,Pipe,Circular, ,C,4.5,0,0,0,54,0, ,Concrete,RCP,CHARX.71353,14,697,711,Yes,CHARX.71345,4.7,696.3,701,Yes,0.00965745,1,2/1/2002,17.87,1,2/16/2021,72.48291639,113677,MO,Monacan loam,C,2,3.883
13154,19972,10900 BALLANTYNE CROSSING AV ,structure,yes,10/7/2020,0,less_than_25%,0,no,no,n_a,0,unknown,2,0,1.3,1.4,1.82,1,0,5.4,2.3,12.42,3.76,1.94,7.2944,7677153,CHARX.46794-P,11/14/2008,Pipe,Circular, ,C,2,0,0,0,24,0, ,Concrete,RCP,CHARX.46794,8,610,618,Yes,CHARX.46795,4.7,609.3,614,Yes,0.00728016,1,1/1/1986,34.77,1,2/16/2021,96.15172703,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.72
13545,23752,N. Brevard St. at Matheson Av.,pipe,yes,8/12/2021,10,,0,,no,collector_,8,fails_cds_meets_retrofit,3,10,1.95,7.5,14.625,1,10,6,6.6,39.6,4.38,6.96,30.4848,7722655,ULS018-0543-P,11/15/2008,Pipe,Circular, ,C,4,0,0,0,48,0, ,Metal or Steel,CMP,ULS018-0543,5.1,675.9,681,Yes,CHARX.5042,12.1,671.9,684,Yes,0,1,1/1/1900,121.61,1,10/19/2021,113.7112144,113688,Ur,Urban land,N/A,4,3.838
13734,11133,401 Meadwobrook Rd,pipe,yes,7/17/2018,7.5,less_than_25%,0,yes,yes,local,6,meets_cds,0,10,3.5,6.8,23.8,1,0,1.4,2.6,3.64,2.24,4.28,9.5872,7723273,CHARX.26020-P,11/16/2008,Pipe,Box, ,R,0,0,5.3,17,72,96, ,Concrete,RCP,CHARX.26020,7,610.7,617,Yes,CHARX.26021,0,0,622,Yes,0,1,1/1/1956,62.54,1,2/16/2021,14.76798328,113678,MS,Monacan and Arents soils,C,2,3.741
14085,19306,2600 Dogwood Cr,pipe,yes,8/17/2020,9,less_than_25%,0,no,no,,0,,2,10,1.3,3.3,4.29,3,10,6.2,6,37.2,4.24,4.92,20.8608,7610699,CHARX.72709-P,11/17/2008,Pipe,Circular, ,C,3,0,0,0,36,0, ,Concrete,RCP,CHARX.72709,3.4,698.6,702,Yes,CHARX.72707,3.4,697.6,701,Yes,0.02470315,1,1/1/1956,64.63,1,5/20/2021,40.48067495,113677,MO,Monacan loam,C,2,3.732
14154,10886,2326 Sandy Porter Rd,structure,yes,5/23/2019,9.2,less_than_25%,0,no,no,thoroughfare,10,unknown,2,10,1.3,8.4,10.92,1,0,2.2,2.4,5.28,1.84,4.8,8.832,7548772,CHARX.95429-PP1,11/18/2008,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,CHARX.95429,0,678.2,678.2,Yes,CHARX.95430,7.2,676.1,683.3,Yes,0,1,2/3/2003,16.30,1,3/26/2018,49.64518704,113679,MeB,"Mecklenburg fine sandy loam, 2 to 8 percent slopes",C,2,3.752
14768,17562,10212 Roundleaf Dr,pipe,yes,3/11/2020,6.7,less_than_25%,0,no,no,local,6,meets_cds,0,10,0,6.2,0,1,10,5.4,6.2,33.48,3.24,6.2,20.088,7699197,CHARX.71300-P,11/19/2008,Pipe,Circular, ,C,5,0,0,0,60,0, ,Metal or Steel,CMP,CHARX.71300,6.58,701.42,708,Yes,CHARX.71299,6.8,701.2,708,Yes,0.00914263,1,3/29/2001,18.95,1,2/16/2021,24.06299092,113666,EnD,"Enon sandy loam, 8 to 15 percent slopes",C,2,3.877
