Asset Type,Inspection Date,Depth,Cons Location Score,Flood Design Score,INV DATE,PACP Shape,PACP Height,PACP Mater,CONST DATE,Length,Encoded Hydro Group,Precipitation,Risk
pipe,44250.67,1,0,2,43124,C,15,RCP,29745,26.51357031,1,3.787,1.472
pipe,43991.67,2,6,8,39379,C,15,RCP,28671,49.37555199,2,3.738,36.3936
pipe,44358.67,8,0,3,43199,C,48,CMP,38988,115.0560102,1,3.793,6.396
pipe,43956.67,3,0,0,34501,C,18,VCP,28671,197.6850923,1,3.792,14.2912
channel,43748.67,0,0,0,43412,C,36,RCP,35970,95.03066432,4,3.783,9.9188
structure,43139.67,8,8,2,35899,C,18,RCP,34700,92.16955732,4,3.826,19.4192
structure,43139.67,8.2,8,2,36104,C,15,PE,35065,90.05197695,1,3.752,18.7248
structure,42843.67,5.5,10,2,43406,C,15,RCP,35611,34.5850127,4,3.786,12.992
structure,42843.67,6.3,10,2,34430,C,12,PE,21186,19.5704274,1,3.751,7.544
pipe,43833.71,4,0,2,43563,C,15,RCP,36710,48.57624611,4,3.718,5.8
channel,43973.67,6,3,2,33288,C,8,VCP,28671,38.42200183,1,3.915,5.984
structure,44175.71,3,0,0,34325,C,48,CMP,40226,449.7525677,2,3.741,0.672
structure,43790.71,3,0,2,34325,C,48,CMP,40226,449.7525677,2,3.741,3.128
channel,43865.67,1.5,3,3,37697,C,24,RCP,37072,163.2439157,2,3.787,14.6076
structure,44285.67,4.6,0,2,43938,C,24,RCP,39190,33.34147922,1,3.738,17.2208
pipe,44459.67,6.5,0,2,38792,C,24,RCP,36671,155.0997589,4,3.743,10.976
structure,44285.67,4.2,0,2,37048,C,24,RCP,35796,89.83999147,1,3.769,12.824
channel,44176.71,5,0,2,43563,C,18,RCP,35431,191.0890181,4,3.719,6.6048
channel,44273.67,1,0,2,43531,C,15,RCP,35796,152.9064681,4,3.735,3.612
pipe,44034.67,7,0,2,44306,C,18,RCP,32540,235.0579515,1,3.92,17.264
structure,44011.67,2.1,0,2,34326,C,18,RCP,30133,31.23155189,4,3.739,3.564
pipe,44420.67,2,6,2,37859,C,15,RCP,36241,99.26801235,2,3.762,30.03
pipe,44323.67,3.5,0,2,36277,C,24,RCP,43132,25.72319352,2,3.766,12.8576
pipe,43805.71,7.5,0,2,43815,C,24,RCP,36892,84.60974221,1,3.727,6.8552
pipe,44307.67,5,0,2,36031,C,24,RCP,35975,133.7132319,2,3.834,6.968
pipe,43805.71,7,0,2,43815,C,24,RCP,21916,39.65567616,1,3.727,7.1456
structure,44112.71,7,0,2,42906,C,12,PE,37622,158.2392289,4,3.729,11.9504
pipe,43963.67,8.25,0,2,43201,C,54,CMP,25934,158.7049548,1,3.795,16.3464
pipe,44523.71,4,8,0,43608,C,15,RCP,37991,89.54067,1,3.694,21.948
pipe,44280.67,6,0,2,43199,C,60,CMP,38961,272.0714415,1,3.792,20.7776
pipe,43998.67,4.5,0,2,43202,C,24,CMP,27030,202.6498265,2,3.795,8.0936
pipe,44097.67,4.5,0,2,43202,C,24,CMP,27030,202.6498265,2,3.795,8.0936
pipe,43661.67,4,0,0,43132,C,18,RCP,25204,105.4757709,1,3.791,6.2712
pipe,44041.67,12.5,0,2,44315,C,48,RCP,35065,180.9891819,1,3.874,17.888
pipe,44460.67,3.5,0,2,44085,C,15,RCP,34880,189.5104991,2,3.751,21.0512
pipe,44523.71,4,8,0,43608,C,15,RCP,37991,20.63290884,1,3.694,16.284
pipe,43846.71,9.5,6,0,34001,C,72,CMP,28671,75.53158532,2,3.885,29.376
pipe,43914.67,6.4,8,2,44105,C,60,CMP,31229,60.56578932,2,3.774,8.888
channel,43896.67,5,6,2,42948,C,18,PE,37257,51.12949564,4,3.754,4.928
channel,44358.67,0,3,8,42949,C,36,RCP,33970,126.9565334,1,3.752,8.0264
