,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,Train Test Split,Scenario
,SVC,Trimmed Data Optimized,Training,0.99818,0.994772,80/20,No SMOTE
,SVC,Trimmed Data Optimized,Test,0.704632,0.737042,80/20,No SMOTE
,DT,Trimmed Data Optimized,Training,0.990964,0.92896,80/20,No SMOTE
,DT,Trimmed Data Optimized,Test,0.719116,0.731603,80/20,No SMOTE
,LR,Full Data Optimized,Training,0.740394,0.730966,90/10,No SMOTE
,LR,Full Data Optimized,Test,0.695656,0.656716,90/10,No SMOTE
,RFC,Full Data Optimized,Training,0.996556,0.969667,90/10,No SMOTE
,RFC,Full Data Optimized,Test,0.804313,0.741465,90/10,No SMOTE
,SVC,Full Data Optimized,Training,0.999368,0.998181,90/10,No SMOTE
,SVC,Full Data Optimized,Test,0.725989,0.698629,90/10,No SMOTE
,DT,Full Data Optimized,Training,1,1,90/10,No SMOTE
,DT,Full Data Optimized,Test,0.6677,0.74965,90/10,No SMOTE
,LR,Trimmed Data Optimized,Training,0.737088,0.718492,90/10,No SMOTE
,LR,Trimmed Data Optimized,Test,0.714963,0.718136,90/10,No SMOTE
,RFC,Trimmed Data Optimized,Training,0.994511,0.925983,90/10,No SMOTE
,RFC,Trimmed Data Optimized,Test,0.786324,0.798777,90/10,No SMOTE
,SVC,Trimmed Data Optimized,Training,0.997428,0.988904,90/10,No SMOTE
,SVC,Trimmed Data Optimized,Test,0.772914,0.757531,90/10,No SMOTE
,DT,Trimmed Data Optimized,Training,0.991105,0.935732,90/10,No SMOTE
,DT,Trimmed Data Optimized,Test,0.735413,0.792267,90/10,No SMOTE
,LR,Full Data Optimized,Training,0.739955,0.666802,70/30,SMOTE on Training
,LR,Full Data Optimized,Test,0.685653,0.629358,70/30,SMOTE on Training
,RFC,Full Data Optimized,Training,0.970892,0.910161,70/30,SMOTE on Training
,RFC,Full Data Optimized,Test,0.747328,0.740694,70/30,SMOTE on Training
,SVC,Full Data Optimized,Training,0.344723,0.697022,70/30,SMOTE on Training
,SVC,Full Data Optimized,Test,0.370027,0.675738,70/30,SMOTE on Training
,DT,Full Data Optimized,Training,0.949586,0.862209,70/30,SMOTE on Training
,DT,Full Data Optimized,Test,0.69223,0.68894,70/30,SMOTE on Training
,LR,Trimmed Data Optimized,Training,0.733695,0.643458,70/30,SMOTE on Training
,LR,Trimmed Data Optimized,Test,0.689281,0.623449,70/30,SMOTE on Training
,RFC,Trimmed Data Optimized,Training,0.996016,0.972098,70/30,SMOTE on Training
,RFC,Trimmed Data Optimized,Test,0.76372,0.764172,70/30,SMOTE on Training
,SVC,Trimmed Data Optimized,Training,0.5,0.771605,70/30,SMOTE on Training
